Instrument,Date,Revenue,Gross Profit,EBIT,EBITDA,Total Assets,Total Liabilities,Enterprise Value (Daily Time Series),Free Cash Flow,P/E (Daily Time Series Ratio),Dividend yield,"Net Profit Margin, (%)",Current Ratio,Quick Ratio,Debt - Total,"Weighted Average Cost of Capital, (%)",Common Shares - Outstanding - Total
MORN.O,2018-12-31T00:00:00Z,799479212.0,477226144.0,169161304.0,244962500.0,1139604744.0,406912108.0,4761536697.11056,125969516.0,36.541303375,0.736939070930386,17.70762,1.65821,1.65821,56752912.0,6.71698435528479,42624118.0
MORN.O,2018-12-31T00:00:00Z,799479212.0,477226144.0,169161304.0,244962500.0,1139604744.0,406912108.0,4586113015.14363,125969516.0,36.208881991,0.780759846636459,17.70762,1.65821,1.65821,56752912.0,7.18024371294933,42624118.0
MORN.O,2018-12-31T00:00:00Z,799479212.0,477226144.0,169161304.0,244962500.0,1139604744.0,406912108.0,3874017239.03657,125969516.0,30.003333968,0.90213451469996,17.70762,1.65821,1.65821,56752912.0,7.33520418965706,42624118.0
MORN.O,2017-12-31T00:00:00Z,674730936.0,388616008.0,125665584.0,193160880.0,1040330456.0,444640064.0,3456188512.52441,83555032.0,27.936811531,0.801282051282051,13.85324,1.63923,1.63923,133214400.0,7.40130899480026,42547707.0
MORN.O,2017-12-31T00:00:00Z,674730936.0,388616008.0,125665584.0,193160880.0,1040330456.0,444640064.0,3946113972.92125,83555032.0,36.990245622,0.757575757575758,13.85324,1.63923,1.63923,133214400.0,7.14246249959773,42547707.0
MORN.O,2017-12-31T00:00:00Z,674730936.0,388616008.0,125665584.0,193160880.0,1040330456.0,444640064.0,3973223279.24307,83555032.0,36.63113518,,13.85324,1.63923,1.63923,133214400.0,6.7821730770669,42547707.0
SPGI.K,2022-12-31T00:00:00Z,9242773650.0,6129609750.0,3545501850.0,4382898300.0,51073743600.0,20920031550.0,112061438470.8,2828796300.0,47.1920111785113,0.992884328975674,29.04928,0.94466,0.94466,9056777400.0,7.78888618862545,329000000.0
SPGI.K,2022-12-31T00:00:00Z,9242773650.0,6129609750.0,3545501850.0,4382898300.0,51073743600.0,20920031550.0,100230114759.28,2828796300.0,32.8462807019884,0.960153624579933,29.04928,0.94466,0.94466,9056777400.0,8.2155549841026,329000000.0
SPGI.K,2021-12-31T00:00:00Z,6132727550.0,4510293300.0,3335783950.0,3467352650.0,11106467900.0,9549078850.0,100648317745.8,1968356450.0,28.004993307,1.05836575875486,36.44691,2.30931,2.30931,3040863100.0,8.34113010134011,241000000.0
SPGI.K,2021-12-31T00:00:00Z,6132727550.0,4510293300.0,3335783950.0,3467352650.0,11106467900.0,9549078850.0,100735266813.5,1968356450.0,22.753217567,0.902024248534211,36.44691,2.30931,2.30931,3040863100.0,9.1710666424381,241000000.0
SPGI.K,2021-12-31T00:00:00Z,6132727550.0,4510293300.0,3335783950.0,3467352650.0,11106467900.0,9549078850.0,101696336857.92,1968356450.0,24.3266085,0.903054448871182,36.44691,2.30931,2.30931,3040863100.0,8.70635003800563,241000000.0
SPGI.K,2021-12-31T00:00:00Z,6132727550.0,4510293300.0,3335783950.0,3467352650.0,11106467900.0,9549078850.0,109231217731.919,1968356450.0,32.785994215,0.741775444342758,36.44691,2.30931,2.30931,3040863100.0,8.1412135291661,241000000.0
SPGI.K,2020-12-31T00:00:00Z,5442855540.0,3912829500.0,2804072580.0,2954734800.0,9169185690.0,8751573420.0,85153871839.5,1476636030.0,40.674328709,0.649569765480007,31.42972,1.66936,1.66936,3005930700.0,1.5323852191659,241000000.0
SPGI.K,2020-12-31T00:00:00Z,5442855540.0,3912829500.0,2804072580.0,2954734800.0,9169185690.0,8751573420.0,77544870757.2,1476636030.0,41.703104987,0.718417615226721,31.42972,1.66936,1.66936,3005930700.0,7.39161672621578,241000000.0
SPGI.K,2020-12-31T00:00:00Z,5442855540.0,3912829500.0,2804072580.0,2954734800.0,9169185690.0,8751573420.0,73307318544.1,1476636030.0,40.389558249,0.788954635108481,31.42972,1.66936,1.66936,3005930700.0,7.09139562819648,241000000.0
SPGI.K,2020-12-31T00:00:00Z,5442855540.0,3912829500.0,2804072580.0,2954734800.0,9169185690.0,8751573420.0,63747254591.2332,1476636030.0,36.515112788,0.971608832807571,31.42972,1.66936,1.66936,3005930700.0,6.66144515881849,241000000.0
SPGI.K,2019-12-31T00:00:00Z,5052385800.0,3694071600.0,2484334800.0,2638191600.0,8558661600.0,8154410400.0,60426841110.06,1381694400.0,32.911473513,0.830415517615344,31.6913,1.52344,1.52344,2977581600.0,6.64611036902877,244000000.0
SPGI.K,2019-12-31T00:00:00Z,5052385800.0,3694071600.0,2484334800.0,2638191600.0,8558661600.0,8154410400.0,70182865578.0,1381694400.0,33.992988357,0.765167737330478,31.6913,1.52344,1.52344,2977581600.0,6.55285255693605,244000000.0
SPGI.K,2019-12-31T00:00:00Z,5052385800.0,3694071600.0,2484334800.0,2638191600.0,8558661600.0,8154410400.0,67515992612.64,1381694400.0,34.402108314,0.915050532641355,31.6913,1.52344,1.52344,2977581600.0,7.6016661531524,244000000.0
SPGI.K,2019-12-31T00:00:00Z,5052385800.0,3694071600.0,2484334800.0,2638191600.0,8558661600.0,8154410400.0,50266532269.1436,1381694400.0,28.487031164,0.912402546556361,31.6913,1.52344,1.52344,2977581600.0,7.69054929555602,244000000.0
SPGI.K,2018-12-31T00:00:00Z,4905521040.0,3572141160.0,2297552280.0,2459031560.0,7400611080.0,6864437160.0,53158595364.0,1341218680.0,32.398766462,0.883755184309469,31.28795,1.36388,1.36388,2870568560.0,7.60340217616319,249000000.0
SPGI.K,2018-12-31T00:00:00Z,4905521040.0,3572141160.0,2297552280.0,2459031560.0,7400611080.0,6864437160.0,52144304191.38,1341218680.0,31.099054131,0.930802204531537,31.28795,1.36388,1.36388,2870568560.0,8.19757573229542,249000000.0
SPGI.K,2018-12-31T00:00:00Z,4905521040.0,3572141160.0,2297552280.0,2459031560.0,7400611080.0,6864437160.0,47309711640.32,1341218680.0,30.559185196,1.03326384482915,31.28795,1.36388,1.36388,2870568560.0,8.37134018227206,249000000.0
SPGI.K,2018-12-31T00:00:00Z,4905521040.0,3572141160.0,2297552280.0,2459031560.0,7400611080.0,6864437160.0,42372308807.6978,1341218680.0,27.227959642,1.18966866684059,31.28795,1.36388,1.36388,2870568560.0,8.87087180493682,249000000.0
SPGI.K,2017-12-31T00:00:00Z,4487105040.0,3232669440.0,2001916400.0,2135130800.0,6975254000.0,6406872560.0,35806812190.48,1053133840.0,23.275402772,1.09697235629662,27.13178,1.34536,1.34536,2641345520.0,9.04994314909631,254000000.0
SPGI.K,2017-12-31T00:00:00Z,4487105040.0,3232669440.0,2001916400.0,2135130800.0,6975254000.0,6406872560.0,40220873454.3,1053133840.0,28.097982709,0.997804829375374,27.13178,1.34536,1.34536,2641345520.0,8.79966772047397,254000000.0
SPGI.K,2017-12-31T00:00:00Z,4487105040.0,3232669440.0,2001916400.0,2135130800.0,6975254000.0,6406872560.0,41237414283.69,1053133840.0,30.189154174,,27.13178,1.34536,1.34536,2641345520.0,9.9384302055112,254000000.0
MSCI.K,2022-12-31T00:00:00Z,1858803536.7,1524555049.05,1001650978.35,1099172532.15,4131212307.75,4964413509.0,32275697945.1832,448651887.75,43.0226311379375,1.14416001658203,38.71626,1.39779,1.39779,3729800160.9,7.86668444552133,79959989.0
MSCI.K,2022-12-31T00:00:00Z,1858803536.7,1524555049.05,1001650978.35,1099172532.15,4131212307.75,4964413509.0,39186484416.2189,448651887.75,52.2210434878346,1.03845285574535,38.71626,1.39779,1.39779,3729800160.9,8.29141034538504,79959989.0
MSCI.K,2021-12-31T00:00:00Z,1510485547.6,1245364269.0,797982644.25,878914395.2,4070279522.45,4191106155.5,33760410864.1606,349369595.6,44.882903258,1.06641641428145,35.52568,1.71344,1.71344,3191130077.55,8.61889751801636,82439449.0
MSCI.K,2021-12-31T00:00:00Z,1510485547.6,1245364269.0,797982644.25,878914395.2,4070279522.45,4191106155.5,33714172430.3934,349369595.6,43.398185217,1.03876677608343,35.52568,1.71344,1.71344,3191130077.55,9.35305450920814,82439449.0
MSCI.K,2021-12-31T00:00:00Z,1510485547.6,1245364269.0,797982644.25,878914395.2,4070279522.45,4191106155.5,30322978477.9635,349369595.6,45.218412117,0.987537091988131,35.52568,1.71344,1.71344,3191130077.55,8.98811826372897,82439449.0
MSCI.K,2021-12-31T00:00:00Z,1510485547.6,1245364269.0,797982644.25,878914395.2,4070279522.45,4191106155.5,33204859589.0914,349369595.6,57.828886845,0.775945683802134,35.52568,1.71344,1.71344,3191130077.55,7.62437813722324,82439449.0
MSCI.K,2020-12-31T00:00:00Z,1239957384.3,1026613829.82,647089846.68,710533268.7,3070764456.39,3394932506.97,39463212735.1178,281467013.13,74.330414823,0.625676813861148,35.12596,1.88457,1.88457,2567585553.24,1.59588282071965,82573407.0
MSCI.K,2020-12-31T00:00:00Z,1239957384.3,1026613829.82,647089846.68,710533268.7,3070764456.39,3394932506.97,38705866451.4754,281467013.13,73.26599359,0.698033425062085,35.12596,1.88457,1.88457,2567585553.24,7.2342696329758,82573407.0
MSCI.K,2020-12-31T00:00:00Z,1239957384.3,1026613829.82,647089846.68,710533268.7,3070764456.39,3394932506.97,33435831702.0858,281467013.13,69.393206474,0.642279267966322,35.12596,1.88457,1.88457,2567585553.24,6.86643602531539,82573407.0
MSCI.K,2020-12-31T00:00:00Z,1239957384.3,1026613829.82,647089846.68,710533268.7,3070764456.39,3394932506.97,26679863305.3984,281467013.13,59.499009485,0.789273969137364,35.12596,1.88457,1.88457,2567585553.24,6.51142319226875,82573407.0
MSCI.K,2019-12-31T00:00:00Z,1174889743.2,952430157.0,569949694.2,629839962.0,3170987893.8,3228845592.6,28580511388.8553,276312483.0,67.494686945,0.891836268008232,36.1824,2.31107,2.31107,2431767814.2,5.95417100812508,84794930.0
MSCI.K,2019-12-31T00:00:00Z,1174889743.2,952430157.0,569949694.2,629839962.0,3170987893.8,3228845592.6,24635909625.7981,276312483.0,58.264350115,0.829831374009256,36.1824,2.31107,2.31107,2431767814.2,5.76688291715026,84794930.0
MSCI.K,2019-12-31T00:00:00Z,1174889743.2,952430157.0,569949694.2,629839962.0,3170987893.8,3228845592.6,24202956462.63,276312483.0,53.578364497,0.831804281345566,36.1824,2.31107,2.31107,2431767814.2,7.53966805707248,84794930.0
MSCI.K,2019-12-31T00:00:00Z,1174889743.2,952430157.0,569949694.2,629839962.0,3170987893.8,3228845592.6,21042949775.7248,276312483.0,43.855841526,0.951714485654304,36.1824,2.31107,2.31107,2431767814.2,8.05820179881033,84794930.0
MSCI.K,2018-12-31T00:00:00Z,1124071377.92,898835218.12,538445604.24,605494780.04,2655747813.76,2786259130.48,17774029250.7181,284016185.48,37.607390381,1.15961800818554,34.63672,1.77389,1.77389,2018884507.76,7.7689899999193,84174138.0
